shapeID,name,area_km2,n_pixels,sol,rad_km2,sol_per_km2,mean_rad,median_rad,p90_rad,max_rad,lit_area_km2,lit_share,core_area_km2,core_share,pop,pop_inhabited,pop_lit,pop_dark,pop_lit_share,pop_density,sol_per_capita,gini_pixels,gini_pop_light,cv_rad,sol_share_nat,pop_share_nat,light_pop_ratio
13205935B88806172084765,Tunis,285.138,1434,51405.3,10219.1,180.282,35.8475,27.3251,78.6948,161.335,284.74,0.998604,192.038,0.673492,986935,986935,986824,111.249,0.999887,3461.25,0.0520857,0.478081,0.286061,0.867471,0.0882404,0.0845072,1.04418
13205935B75715054307065,Ben Arous,659.21,3308,36562.6,7278.45,55.4643,11.0528,2.51523,41.9881,100.119,558.269,0.846876,166.614,0.252748,668076,668076,663815,4261.65,0.993621,1013.45,0.0547283,0.720229,0.328662,1.66881,0.0627621,0.0572046,1.09715
13205935B49538157477352,El Kef,5080.77,25301,13672,2745.39,2.69092,0.540372,0,0.931395,90.0515,1268.32,0.249631,51.2013,0.0100775,234127,234098,152362,81736.8,0.650844,46.0811,0.0583955,0.905701,0.72839,5.26255,0.0234688,0.0200473,1.17067
13205935B49970022939178,Sousse,2600.76,12924,46541.4,9364.4,17.8953,3.60116,0.821244,6.69434,151.818,1474.93,0.567115,198.806,0.0764414,772534,772505,735169,37335.8,0.951669,297.042,0.0602451,0.836728,0.46734,2.96977,0.0798913,0.066149,1.20775
13205935B27259873852948,Sfax,6984.44,34239,57098.3,11646.3,8.17507,1.66764,0,2.5426,139.607,2810.95,0.40246,270.295,0.0386996,1.00952e+06,1.00952e+06,902917,106606,0.8944,144.539,0.0565597,0.877744,0.484769,3.65655,0.0980129,0.0864413,1.13387
13205935B57742642676849,Jendouba,3080.98,15461,12188.4,2429.59,3.956,0.788329,0,1.30286,66.9208,1054.47,0.342251,44.0582,0.0143001,392324,392315,272304,120011,0.694095,127.338,0.031067,0.864976,0.731605,4.19692,0.0209221,0.0335931,0.622809
13205935B9888826763551,Kairouan,6504.55,32221,25508.3,5149.25,3.92161,0.791668,0,1.24006,116.785,2358.14,0.362537,67.6156,0.0103951,579565,579561,377716,201846,0.651726,89.1015,0.0440129,0.859458,0.814293,5.51537,0.0437867,0.0496258,0.882338
13205935B52637504718586,Kasserine,8172.43,40284,20515.6,4161.76,2.51034,0.509274,0,0.939484,73.8893,2304.52,0.281987,65.3503,0.00799644,453257,453240,309588,143652,0.683055,55.4618,0.0452626,0.88078,0.721058,5.42897,0.0352163,0.0388106,0.907391
13205935B953488337212,Mahdia,2853.8,14085,20281.4,4106.71,7.10681,1.43993,0.721131,2.556,71.2867,1656.58,0.580481,67.0167,0.0234833,410908,410907,353392,57514.4,0.860031,143.986,0.0493575,0.750861,0.680861,2.96441,0.0348143,0.0351843,0.989483
13205935B47286197858453,Manouba,1133.3,5698,17963.1,3572.31,15.8503,3.15253,1.13239,6.36997,87.9489,757.792,0.668659,74.7684,0.065974,493309,493309,473770,19538.9,0.960392,435.285,0.0364135,0.754839,0.524176,2.49694,0.0308349,0.04224,0.729992
13205935B988461082754,Sidi Bouzid,7401.33,36326,23008.5,4682.03,3.10871,0.633391,0,1.08232,90.023,2511.2,0.33929,63.7117,0.00860815,454480,454377,299617,154760,0.659403,61.4052,0.0506261,0.855212,0.783126,5.28729,0.0394957,0.0389152,1.01491
13205935B11721331776240,Kébili,22159.6,106740,14644.8,3029.65,0.66088,0.137201,0,0,92.8144,934.466,0.0421698,69.4973,0.00313622,165623,135841,99682.6,36158.8,0.733816,7.47412,0.0884224,0.985482,0.752081,11.4993,0.0251388,0.0141817,1.77263
13205935B67114336122672,Béja,3647.76,18318,12074.6,2404.89,3.31013,0.659164,0,1.10085,67.3503,1018.78,0.279289,46.6078,0.0127771,305946,305911,202285,103626,0.661255,83.8723,0.0394663,0.89419,0.718064,4.71642,0.0207268,0.0261969,0.791191
13205935B85172640982228,Tataouine,38345.4,182043,14370.9,3009.52,0.374776,0.0789425,0,0,65.2375,1393.41,0.0363383,50.4083,0.00131458,153737,136201,93869,42332,0.689194,4.00926,0.0934776,0.985142,0.721745,12.6078,0.0246686,0.0131638,1.87397
13205935B69181748376292,Gabès,7460.12,36144,20267.1,4179.94,2.71673,0.560733,0,0.807167,146.423,1131.41,0.151662,99.5901,0.0133497,394757,392058,308736,83322.4,0.787474,52.9156,0.0513408,0.954383,0.615263,6.48141,0.0347899,0.0338014,1.02924
13205935B29646166511918,Bizerte,3580.92,18075,20533.3,4062.93,5.73408,1.136,0,1.86791,86.8973,1219.98,0.340688,89.605,0.0250229,596719,596712,489156,107556,0.819752,166.639,0.0344103,0.883597,0.628061,3.93109,0.0352467,0.0510946,0.689832
13205935B58390004509121,Ariana,454.256,2289,25468,5057.96,56.0654,11.1263,3.08022,37.6439,103.744,398.748,0.877805,118.757,0.261432,785022,785020,782901,2118.5,0.997301,1728.15,0.0324425,0.694356,0.362179,1.60709,0.0437175,0.0672182,0.650382
13205935B21712567795690,Nabeul,2816.96,14147,44540.5,8877.45,15.8115,3.1484,1.24064,6.5596,100.97,2110.32,0.74915,197,0.0699336,837162,837161,796290,40871.4,0.951179,297.187,0.0532041,0.716596,0.56273,2.23577,0.0764566,0.0716828,1.0666
13205935B50453639335401,Monastir,1077.43,5336,31668.3,6389.87,29.3925,5.93483,2.07794,16.5218,105.798,913.838,0.848166,157.955,0.146604,604267,604261,593955,10306.4,0.982944,560.842,0.0524077,0.686365,0.463614,1.77833,0.0543606,0.0517409,1.05063
13205935B74205220895681,Siliana,4647.68,23150,8793.57,1764.89,1.89203,0.379852,0,0.716527,77.0278,847.313,0.182309,34.1134,0.00733989,219787,219783,116372,103411,0.529486,47.2895,0.0400096,0.932945,0.793851,6.54672,0.0150947,0.0188194,0.802082
13205935B3129194497982,Zaghouan,2823.99,14115,13984.4,2795.99,4.95202,0.990751,0,1.78861,76.2897,1151.29,0.407681,47.7644,0.0169138,194907,194902,141481,53421.6,0.725906,69.0184,0.0717492,0.831598,0.726716,3.63034,0.0240052,0.0166891,1.43837
13205935B54080015312342,Gafsa,7519.55,36700,17103.5,3503.72,2.27454,0.466036,0,0.792722,79.6427,1358.75,0.180696,73.1413,0.00972682,346015,344492,241770,102722,0.701816,46.0154,0.0494299,0.939106,0.661285,6.12614,0.0293593,0.0296279,0.990934
13205935B11392830158982,Médenine,9258.74,44531,26264.7,5435.8,2.83675,0.589807,0,1.08834,129.718,1735.84,0.187481,109.842,0.0118636,503938,497421,402406,95014.4,0.808986,54.4284,0.0521189,0.928478,0.641788,4.95227,0.0450851,0.0431502,1.04484
13205935B95771050896452,Tozeur,6029.92,29266,8100.33,1667.8,1.34336,0.276783,0,0,68.2158,508.83,0.0843843,39.7512,0.00659234,115788,106206,77693.3,28513.2,0.731531,19.2022,0.0699584,0.970797,0.6894,7.71189,0.0139047,0.00991444,1.40247
