shapeID,name,sol,pop,area_km2,parent,sol_0,growth,abs_change,z_robust,flag
11933810B8760132099835,الغريبة,984.071,10564.5,428.74,Sfax,643.201,0.048383,340.87,0.416716,within normal range · dans la plage normale
11933810B5953362566301,السبيخة,2627.89,88952.5,1063.32,Kairouan,1816.02,0.0419135,811.862,0.172194,within normal range · dans la plage normale
11933810B1906058680343,الساحلين,2511.47,30824.4,42.5311,Monastir,1677.16,0.0458844,834.308,0.322279,within normal range · dans la plage normale
11933810B82782291879884,الدهماني,1117.78,25421.3,541.572,El Kef,1061.54,0.00575192,56.2346,-1.19457,within normal range · dans la plage normale
11933810B93810808295366,الحرائرية,2914.2,97287.6,23.8658,Tunis,2349.27,0.0242324,564.931,-0.49608,within normal range · dans la plage normale
11933810B26016099352541,الجريصة,879.091,8526.25,171.551,El Kef,562.733,0.0508136,316.358,0.508582,within normal range · dans la plage normale
11933810B19311233217993,البقالطة,911.658,16752.5,40.3839,Monastir,777.375,0.0178623,134.283,-0.736843,within normal range · dans la plage normale
11933810B52939615202666,أكودة,3669.01,44059.6,45.053,Sousse,2054.07,0.0665779,1614.94,1.10441,within normal range · dans la plage normale
11933810B85991761590163,أريانة المدينة,5065.25,129471,18.6755,Ariana,4223.46,0.0203995,841.787,-0.640946,within normal range · dans la plage normale
11933810B91048903383845,Menzel Chaker,3265.46,38095.7,1628.82,Sfax,3126.79,0.00483305,138.667,-1.2293,within normal range · dans la plage normale
11933810B64295465131340,El Hencha,2915.58,53066.4,525.359,Sfax,1600.91,0.0688794,1314.67,1.1914,within normal range · dans la plage normale
11933810B39381734454792,Carthage,1952.02,26336.2,8.34485,Tunis,1528.94,0.0275147,423.074,-0.372022,within normal range · dans la plage normale
11933810B27500273818749,Bou Salem,1237.06,25890.4,283.064,Jendouba,945.705,0.0302895,291.351,-0.267143,within normal range · dans la plage normale
11933810B50492442899568,Balta Bouawene,1012.27,45665.7,295.915,Jendouba,585.343,0.0627517,426.928,0.959794,within normal range · dans la plage normale
11933810B69695767821716,غار الملح,820.145,15123.3,93.6117,Bizerte,507.893,0.0546887,312.252,0.655045,within normal range · dans la plage normale
11933810B79768086949873,وادي اللیل‬,2609.65,96742,57.8424,Manouba,1575.84,0.0576481,1033.81,0.766901,within normal range · dans la plage normale
11933810B94389885221206,واد مليز,502.125,17947.3,198.512,Jendouba,383.105,0.0305164,119.02,-0.25857,within normal range · dans la plage normale
11933810B20916595248179,هرقلة,1491.47,9808.26,84.9454,Sousse,905.458,0.0570192,586.01,0.743128,within normal range · dans la plage normale
11933810B90101987139089,العالية,964.779,33986.4,84.3133,Bizerte,424.132,0.0956164,540.647,2.20195,within normal range · dans la plage normale
11933810B20445335117262,الشراردة,792.268,24490.8,328.879,Kairouan,655.627,0.021257,136.641,-0.608538,within normal range · dans la plage normale
11933810B77374835127738,حمام الشط,1812.54,39526.9,25.8872,Ben Arous,1222.61,0.0447203,589.93,0.278279,within normal range · dans la plage normale
11933810B69090870616601,تيبار,274.396,11427.4,114.371,Béja,190.372,0.0414574,84.0234,0.154956,within normal range · dans la plage normale
11933810B93719080710322,‫المحرس‬,2964.44,50434.4,431.785,Sfax,3606.5,-0.0215477,-642.06,-2.22638,within normal range · dans la plage normale
11933810B77110081230007,بلخير,439.955,15435.6,839.188,Gafsa,615.579,-0.0366333,-175.624,-2.79656,significant loss · baisse significative
11933810B27365957956997,العامرة,1810.39,31662.5,179.534,Sfax,898.774,0.0809144,911.616,1.64627,within normal range · dans la plage normale
11933810B63201722786618,الكريب,753.584,19524.1,424.05,Siliana,882.953,-0.0174495,-129.37,-2.07149,within normal range · dans la plage normale
11933810B80970548575435,باب بحر,3344.38,24283.1,10.9365,Tunis,2874.28,0.0169733,470.096,-0.770443,within normal range · dans la plage normale
11933810B4327996675990,الزهراء,1424.56,40854.7,7.56139,Ben Arous,1009.88,0.0389651,414.674,0.0607588,within normal range · dans la plage normale
11933810B23225476199680,العمران,1748.62,39160,4.77101,Tunis,1192.22,0.0434755,556.404,0.231233,within normal range · dans la plage normale
11933810B16314159892818,مقرين,1997.34,34676,10.5423,Ben Arous,1589.67,0.0256902,407.673,-0.440981,within normal range · dans la plage normale
11933810B99011573109347,بومهل البساتين,2441.36,41329.9,20.1042,Ben Arous,1490.65,0.0563457,950.703,0.717672,within normal range · dans la plage normale
11933810B49298312402477,جربة ميدون,4267.84,68167.6,187.437,Médenine,3097.42,0.0362572,1170.42,-0.0415912,within normal range · dans la plage normale
11933810B14386581864910,حي الخضراء,7627.79,20760.5,36.1751,Tunis,6815.16,0.0125952,812.633,-0.935917,within normal range · dans la plage normale
11933810B30705450500253,المرناقية,4565.79,49599.1,260.058,Manouba,2079.78,0.0913001,2486,2.03881,within normal range · dans la plage normale
11933810B74832609224245,بنبلة,2002.24,35744.8,48.4098,Monastir,1347.64,0.0449723,654.603,0.287806,within normal range · dans la plage normale
11933810B54416453623,سيدي بوزيد الشرقية,4200.02,60378.8,791.888,Sidi Bouzid,3036.7,0.0366923,1163.32,-0.0251441,within normal range · dans la plage normale
11933810B98016623241881,سيدي ثابت,2226.94,56069.1,97.2932,Ariana,1384.4,0.0542376,842.538,0.637997,within normal range · dans la plage normale
